primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig19919.0v2,Contig19919.0v2,AMCR02030256,AMCR02030256.1,19919.0v2,
Contig19920.0,Contig19920.0,AMCR02030257,AMCR02030257.1,19920.0,OXYTRI_MAC_19920
Contig19920.0i1v1,Contig19920.0i1v1,AMCR02030258,AMCR02030258.1,19920.0i1v1,
Contig19920.0i1v2,Contig19920.0i1v2,AMCR02030259,AMCR02030259.1,19920.0i1v2,
Contig19920.0i1,Contig19920.0i1,AMCR02030260,AMCR02030260.1,19920.0i1,
Contig19921.0,Contig19921.0,AMCR02030261,AMCR02030261.1,19921.0,OXYTRI_MAC_19921
Contig19921.0i1,Contig19921.0i1,AMCR02030262,AMCR02030262.1,19921.0i1,
Contig19922.0,Contig19922.0,AMCR02030263,AMCR02030263.1,19922.0,OXYTRI_MAC_19922
Contig19922.0i1,Contig19922.0i1,AMCR02030264,AMCR02030264.1,19922.0i1,
Contig19922.0i1v1,Contig19922.0i1v1,AMCR02030265,AMCR02030265.1,19922.0i1v1,
Contig19922.0i1v2,Contig19922.0i1v2,AMCR02030266,AMCR02030266.1,19922.0i1v2,
Contig19923.0,Contig19923.0,AMCR02030267,AMCR02030267.1,19923.0,OXYTRI_MAC_19923
Contig19926.0,Contig19926.0,AMCR02030268,AMCR02030268.1,19926.0,OXYTRI_MAC_19926
Contig19926.0v1,Contig19926.0v1,AMCR02030269,AMCR02030269.1,19926.0v1,
Contig19927.0,Contig19927.0,AMCR02030270,AMCR02030270.1,19927.0,OXYTRI_MAC_19927
Contig19927.0v1,Contig19927.0v1,AMCR02030271,AMCR02030271.1,19927.0v1,
Contig19928.0,Contig19928.0,AMCR02030272,AMCR02030272.1,19928.0,OXYTRI_MAC_19928
Contig19928.0v1,Contig19928.0v1,AMCR02030273,AMCR02030273.1,19928.0v1,
Contig19929.0,Contig19929.0,AMCR02030274,AMCR02030274.1,19929.0,OXYTRI_MAC_19929
Contig19929.0v1,Contig19929.0v1,AMCR02030275,AMCR02030275.1,19929.0v1,
Contig19930.0,Contig19930.0,AMCR02030276,AMCR02030276.1,19930.0,OXYTRI_MAC_19930
Contig19931.0,Contig19931.0,AMCR02030277,AMCR02030277.1,19931.0,OXYTRI_MAC_19931
Contig19931.0v1,Contig19931.0v1,AMCR02030278,AMCR02030278.1,19931.0v1,
Contig19932.0,Contig19932.0,AMCR02030279,AMCR02030279.1,19932.0,OXYTRI_MAC_19932
Contig19933.0,Contig19933.0,AMCR02030280,AMCR02030280.1,19933.0,OXYTRI_MAC_19933
Contig19934.0,Contig19934.0,AMCR02030281,AMCR02030281.1,19934.0,OXYTRI_MAC_19934
Contig19935.0,Contig19935.0,AMCR02030282,AMCR02030282.1,19935.0,OXYTRI_MAC_19935
Contig19935.0i1,Contig19935.0i1,AMCR02030283,AMCR02030283.1,19935.0i1,
Contig19935.0i1v1,Contig19935.0i1v1,AMCR02030284,AMCR02030284.1,19935.0i1v1,
Contig19936.0,Contig19936.0,AMCR02030285,AMCR02030285.1,19936.0,OXYTRI_MAC_19936
Contig19936.0v1,Contig19936.0v1,AMCR02030286,AMCR02030286.1,19936.0v1,
Contig19938.0,Contig19938.0,AMCR02030287,AMCR02030287.1,19938.0,OXYTRI_MAC_19938
Contig19938.0v1,Contig19938.0v1,AMCR02030288,AMCR02030288.1,19938.0v1,
Contig19939.0,Contig19939.0,AMCR02030289,AMCR02030289.1,19939.0,OXYTRI_MAC_19939
Contig19940.0,Contig19940.0,AMCR02030290,AMCR02030290.1,19940.0,OXYTRI_MAC_19940
Contig19941.0,Contig19941.0,AMCR02030291,AMCR02030291.1,19941.0,OXYTRI_MAC_19941
Contig19941.0i1,Contig19941.0i1,AMCR02030292,AMCR02030292.1,19941.0i1,
Contig19942.0,Contig19942.0,AMCR02030293,AMCR02030293.1,19942.0,OXYTRI_MAC_19942
Contig19942.0v1,Contig19942.0v1,AMCR02030294,AMCR02030294.1,19942.0v1,
Contig19944.0,Contig19944.0,AMCR02030295,AMCR02030295.1,19944.0,OXYTRI_MAC_19944
Contig19945.0,Contig19945.0,AMCR02030296,AMCR02030296.1,19945.0,OXYTRI_MAC_19945
Contig19945.0v1,Contig19945.0v1,AMCR02030297,AMCR02030297.1,19945.0v1,
Contig19945.0v2,Contig19945.0v2,AMCR02030298,AMCR02030298.1,19945.0v2,
Contig19945.0v3,Contig19945.0v3,AMCR02030299,AMCR02030299.1,19945.0v3,
Contig19946.0,Contig19946.0,AMCR02030300,AMCR02030300.1,19946.0,OXYTRI_MAC_19946
Contig19946.0v1,Contig19946.0v1,AMCR02030301,AMCR02030301.1,19946.0v1,
Contig19947.0,Contig19947.0,AMCR02030302,AMCR02030302.1,19947.0,OXYTRI_MAC_19947
Contig19948.0,Contig19948.0,AMCR02030303,AMCR02030303.1,19948.0,OXYTRI_MAC_19948
Contig19949.0,Contig19949.0,AMCR02030304,AMCR02030304.1,19949.0,OXYTRI_MAC_19949
Contig19949.0i1,Contig19949.0i1,AMCR02030305,AMCR02030305.1,19949.0i1,
Contig19949.0i1v1,Contig19949.0i1v1,AMCR02030306,AMCR02030306.1,19949.0i1v1,
Contig19949.0i1v3,Contig19949.0i1v3,AMCR02030307,AMCR02030307.1,19949.0i1v3,
Contig19950.0,Contig19950.0,AMCR02030308,AMCR02030308.1,19950.0,OXYTRI_MAC_19950
Contig19953.0,Contig19953.0,AMCR02030309,AMCR02030309.1,19953.0,OXYTRI_MAC_19953
Contig19954.0,Contig19954.0,AMCR02030310,AMCR02030310.1,19954.0,OXYTRI_MAC_19954
Contig19954.0v1,Contig19954.0v1,AMCR02030311,AMCR02030311.1,19954.0v1,
Contig19956.0,Contig19956.0,AMCR02030312,AMCR02030312.1,19956.0,OXYTRI_MAC_19956
Contig19956.0v1,Contig19956.0v1,AMCR02030313,AMCR02030313.1,19956.0v1,
Contig19957.0,Contig19957.0,AMCR02030314,AMCR02030314.1,19957.0,OXYTRI_MAC_19957
Contig19957.0i1,Contig19957.0i1,AMCR02030315,AMCR02030315.1,19957.0i1,
Contig19958.0,Contig19958.0,AMCR02030316,AMCR02030316.1,19958.0,OXYTRI_MAC_19958
Contig19958.0v1,Contig19958.0v1,AMCR02030317,AMCR02030317.1,19958.0v1,
Contig19959.0,Contig19959.0,AMCR02030318,AMCR02030318.1,19959.0,OXYTRI_MAC_19959
Contig19959.0v1,Contig19959.0v1,AMCR02030319,AMCR02030319.1,19959.0v1,
Contig19959.0i1,Contig19959.0i1,AMCR02030320,AMCR02030320.1,19959.0i1,
Contig19960.0,Contig19960.0,AMCR02030321,AMCR02030321.1,19960.0,OXYTRI_MAC_19960
Contig19960.0v1,Contig19960.0v1,AMCR02030322,AMCR02030322.1,19960.0v1,
Contig19960.0i1,Contig19960.0i1,AMCR02030323,AMCR02030323.1,19960.0i1,
Contig19961.0,Contig19961.0,AMCR02030324,AMCR02030324.1,19961.0,OXYTRI_MAC_19961
Contig19962.0.1,Contig19962.0.1,AMCR02030325,AMCR02030325.1,19962.0.1,OXYTRI_MAC_19962
Contig19962.0.1v1,Contig19962.0.1v1,AMCR02030326,AMCR02030326.1,19962.0.1v1,
Contig19962.0.1i1,Contig19962.0.1i1,AMCR02030327,AMCR02030327.1,19962.0.1i1,
Contig19962.0.1i2,Contig19962.0.1i2,AMCR02030328,AMCR02030328.1,19962.0.1i2,
Contig19962.0.1i3,Contig19962.0.1i3,AMCR02030329,AMCR02030329.1,19962.0.1i3,
Contig19963.0,Contig19963.0,AMCR02030330,AMCR02030330.1,19963.0,OXYTRI_MAC_19963
Contig19964.0,Contig19964.0,AMCR02030331,AMCR02030331.1,19964.0,OXYTRI_MAC_19964
Contig19965.0,Contig19965.0,AMCR02030332,AMCR02030332.1,19965.0,OXYTRI_MAC_19965
Contig19965.0v1,Contig19965.0v1,AMCR02030333,AMCR02030333.1,19965.0v1,
Contig19966.0,Contig19966.0,AMCR02030334,AMCR02030334.1,19966.0,OXYTRI_MAC_19966
Contig19967.0,Contig19967.0,AMCR02030335,AMCR02030335.1,19967.0,OXYTRI_MAC_19967
Contig19967.0v1,Contig19967.0v1,AMCR02030336,AMCR02030336.1,19967.0v1,
Contig19968.0,Contig19968.0,AMCR02030337,AMCR02030337.1,19968.0,OXYTRI_MAC_19968
Contig19969.0,Contig19969.0,AMCR02030338,AMCR02030338.1,19969.0,OXYTRI_MAC_19969
Contig19970.0.0,Contig19970.0.0,AMCR02030339,AMCR02030339.1,19970.0.0,OXYTRI_MAC_19970
Contig19970.0.0i1,Contig19970.0.0i1,AMCR02030340,AMCR02030340.1,19970.0.0i1,
Contig19971.0,Contig19971.0,AMCR02030341,AMCR02030341.1,19971.0,OXYTRI_MAC_19971
Contig19973.0,Contig19973.0,AMCR02030342,AMCR02030342.1,19973.0,OXYTRI_MAC_19973
Contig19975.0,Contig19975.0,AMCR02030343,AMCR02030343.1,19975.0,OXYTRI_MAC_19975
Contig19975.0v1,Contig19975.0v1,AMCR02030344,AMCR02030344.1,19975.0v1,
Contig19978.0,Contig19978.0,AMCR02030345,AMCR02030345.1,19978.0,OXYTRI_MAC_19978
Contig19978.0v1,Contig19978.0v1,AMCR02030346,AMCR02030346.1,19978.0v1,
Contig19979.0,Contig19979.0,AMCR02030347,AMCR02030347.1,19979.0,OXYTRI_MAC_19979
Contig19980.0,Contig19980.0,AMCR02030348,AMCR02030348.1,19980.0,OXYTRI_MAC_19980
Contig19981.0,Contig19981.0,AMCR02030349,AMCR02030349.1,19981.0,OXYTRI_MAC_19981
Contig19981.0v1,Contig19981.0v1,AMCR02030350,AMCR02030350.1,19981.0v1,
Contig19982.0,Contig19982.0,AMCR02030351,AMCR02030351.1,19982.0,OXYTRI_MAC_19982
Contig19983.0,Contig19983.0,AMCR02030352,AMCR02030352.1,19983.0,OXYTRI_MAC_19983
Contig19984.0,Contig19984.0,AMCR02030353,AMCR02030353.1,19984.0,OXYTRI_MAC_19984
Contig19984.0v1,Contig19984.0v1,AMCR02030354,AMCR02030354.1,19984.0v1,
Contig19988.0,Contig19988.0,AMCR02030355,AMCR02030355.1,19988.0,OXYTRI_MAC_19988
Contig19988.0v1,Contig19988.0v1,AMCR02030356,AMCR02030356.1,19988.0v1,
Contig19989.0,Contig19989.0,AMCR02030357,AMCR02030357.1,19989.0,OXYTRI_MAC_19989
Contig19989.0v1,Contig19989.0v1,AMCR02030358,AMCR02030358.1,19989.0v1,
Contig19991.0,Contig19991.0,AMCR02030359,AMCR02030359.1,19991.0,OXYTRI_MAC_19991
Contig19991.0v1,Contig19991.0v1,AMCR02030360,AMCR02030360.1,19991.0v1,
Contig19992.0,Contig19992.0,AMCR02030361,AMCR02030361.1,19992.0,OXYTRI_MAC_19992
Contig19993.0,Contig19993.0,AMCR02030362,AMCR02030362.1,19993.0,OXYTRI_MAC_19993
Contig19993.0v1,Contig19993.0v1,AMCR02030363,AMCR02030363.1,19993.0v1,
Contig19994.0,Contig19994.0,AMCR02030364,AMCR02030364.1,19994.0,OXYTRI_MAC_19994
Contig19994.0v1,Contig19994.0v1,AMCR02030365,AMCR02030365.1,19994.0v1,
Contig19996.0.0,Contig19996.0.0,AMCR02030366,AMCR02030366.1,19996.0.0,OXYTRI_MAC_19996
Contig19997.0,Contig19997.0,AMCR02030367,AMCR02030367.1,19997.0,OXYTRI_MAC_19997
Contig19998.0.0,Contig19998.0.0,AMCR02030368,AMCR02030368.1,19998.0.0,OXYTRI_MAC_19998
Contig19998.0.0v2,Contig19998.0.0v2,AMCR02030369,AMCR02030369.1,19998.0.0v2,
Contig20002.0.0,Contig20002.0.0,AMCR02030370,AMCR02030370.1,20002.0.0,OXYTRI_MAC_20002
Contig20002.0.0v1,Contig20002.0.0v1,AMCR02030371,AMCR02030371.1,20002.0.0v1,
Contig20004.0,Contig20004.0,AMCR02030372,AMCR02030372.1,20004.0,OXYTRI_MAC_20004
Contig20004.0i1,Contig20004.0i1,AMCR02030373,AMCR02030373.1,20004.0i1,
Contig20005.0,Contig20005.0,AMCR02030374,AMCR02030374.1,20005.0,OXYTRI_MAC_20005
Contig20005.0v2,Contig20005.0v2,AMCR02030375,AMCR02030375.1,20005.0v2,
Contig20005.0v3,Contig20005.0v3,AMCR02030376,AMCR02030376.1,20005.0v3,
Contig20005.0v4,Contig20005.0v4,AMCR02030377,AMCR02030377.1,20005.0v4,
Contig20007.0,Contig20007.0,AMCR02030378,AMCR02030378.1,20007.0,OXYTRI_MAC_20007
Contig20009.0,Contig20009.0,AMCR02030379,AMCR02030379.1,20009.0,OXYTRI_MAC_20009
Contig20011.0,Contig20011.0,AMCR02030380,AMCR02030380.1,20011.0,OXYTRI_MAC_20011
Contig20012.0,Contig20012.0,AMCR02030381,AMCR02030381.1,20012.0,OXYTRI_MAC_20012
Contig20013.0,Contig20013.0,AMCR02030382,AMCR02030382.1,20013.0,OXYTRI_MAC_20013
Contig20013.0v1,Contig20013.0v1,AMCR02030383,AMCR02030383.1,20013.0v1,
Contig20014.0,Contig20014.0,AMCR02030384,AMCR02030384.1,20014.0,OXYTRI_MAC_20014
Contig20014.0i1,Contig20014.0i1,AMCR02030385,AMCR02030385.1,20014.0i1,
Contig20015.0,Contig20015.0,AMCR02030386,AMCR02030386.1,20015.0,OXYTRI_MAC_20015
Contig20015.0i1,Contig20015.0i1,AMCR02030387,AMCR02030387.1,20015.0i1,
Contig20016.0,Contig20016.0,AMCR02030388,AMCR02030388.1,20016.0,OXYTRI_MAC_20016
Contig20018.0,Contig20018.0,AMCR02030389,AMCR02030389.1,20018.0,OXYTRI_MAC_20018
Contig20019.0,Contig20019.0,AMCR02030390,AMCR02030390.1,20019.0,OXYTRI_MAC_20019
Contig20019.0v1,Contig20019.0v1,AMCR02030391,AMCR02030391.1,20019.0v1,
Contig20020.0,Contig20020.0,AMCR02030392,AMCR02030392.1,20020.0,OXYTRI_MAC_20020
Contig20020.0v1,Contig20020.0v1,AMCR02030393,AMCR02030393.1,20020.0v1,
Contig20020.0i1,Contig20020.0i1,AMCR02030394,AMCR02030394.1,20020.0i1,
Contig20020.0i1v1,Contig20020.0i1v1,AMCR02030395,AMCR02030395.1,20020.0i1v1,
Contig20021.0,Contig20021.0,AMCR02030396,AMCR02030396.1,20021.0,OXYTRI_MAC_20021
Contig20021.0v1,Contig20021.0v1,AMCR02030397,AMCR02030397.1,20021.0v1,
Contig20022.0,Contig20022.0,AMCR02030398,AMCR02030398.1,20022.0,OXYTRI_MAC_20022
Contig20023.0,Contig20023.0,AMCR02030399,AMCR02030399.1,20023.0,OXYTRI_MAC_20023
Contig20023.0v1,Contig20023.0v1,AMCR02030400,AMCR02030400.1,20023.0v1,
Contig20024.0,Contig20024.0,AMCR02030401,AMCR02030401.1,20024.0,OXYTRI_MAC_20024
Contig20024.0v1,Contig20024.0v1,AMCR02030402,AMCR02030402.1,20024.0v1,
Contig20024.0i1,Contig20024.0i1,AMCR02030403,AMCR02030403.1,20024.0i1,
Contig20025.0,Contig20025.0,AMCR02030404,AMCR02030404.1,20025.0,OXYTRI_MAC_20025
Contig20025.0v1,Contig20025.0v1,AMCR02030405,AMCR02030405.1,20025.0v1,
Contig20025.0v2,Contig20025.0v2,AMCR02030406,AMCR02030406.1,20025.0v2,
Contig20025.0i1,Contig20025.0i1,AMCR02030407,AMCR02030407.1,20025.0i1,
Contig20025.0i1v1,Contig20025.0i1v1,AMCR02030408,AMCR02030408.1,20025.0i1v1,
Contig20025.0i2,Contig20025.0i2,AMCR02030409,AMCR02030409.1,20025.0i2,
Contig20026.0,Contig20026.0,AMCR02030410,AMCR02030410.1,20026.0,OXYTRI_MAC_20026
Contig20027.0.1,Contig20027.0.1,AMCR02030411,AMCR02030411.1,20027.0.1,OXYTRI_MAC_20027
Contig20027.0.1v1,Contig20027.0.1v1,AMCR02030412,AMCR02030412.1,20027.0.1v1,
Contig20029.0,Contig20029.0,AMCR02030413,AMCR02030413.1,20029.0,OXYTRI_MAC_20029
Contig20030.0,Contig20030.0,AMCR02030414,AMCR02030414.1,20030.0,OXYTRI_MAC_20030
Contig20030.0v1,Contig20030.0v1,AMCR02030415,AMCR02030415.1,20030.0v1,
Contig20031.0,Contig20031.0,AMCR02030416,AMCR02030416.1,20031.0,OXYTRI_MAC_20031
Contig20032.0,Contig20032.0,AMCR02030417,AMCR02030417.1,20032.0,OXYTRI_MAC_20032
Contig20032.0v1,Contig20032.0v1,AMCR02030418,AMCR02030418.1,20032.0v1,
Contig20032.0i1,Contig20032.0i1,AMCR02030419,AMCR02030419.1,20032.0i1,
Contig20033.0,Contig20033.0,AMCR02030420,AMCR02030420.1,20033.0,OXYTRI_MAC_20033
Contig20033.0v1,Contig20033.0v1,AMCR02030421,AMCR02030421.1,20033.0v1,
Contig20034.0,Contig20034.0,AMCR02030422,AMCR02030422.1,20034.0,OXYTRI_MAC_20034
Contig20034.0v1,Contig20034.0v1,AMCR02030423,AMCR02030423.1,20034.0v1,
Contig20035.0,Contig20035.0,AMCR02030424,AMCR02030424.1,20035.0,OXYTRI_MAC_20035
Contig20037.0,Contig20037.0,AMCR02030425,AMCR02030425.1,20037.0,OXYTRI_MAC_20037
Contig20037.0v1,Contig20037.0v1,AMCR02030426,AMCR02030426.1,20037.0v1,
Contig20038.0,Contig20038.0,AMCR02030427,AMCR02030427.1,20038.0,OXYTRI_MAC_20038
Contig20038.0i1,Contig20038.0i1,AMCR02030428,AMCR02030428.1,20038.0i1,
Contig20038.0i1v1,Contig20038.0i1v1,AMCR02030429,AMCR02030429.1,20038.0i1v1,
Contig20039.0,Contig20039.0,AMCR02030430,AMCR02030430.1,20039.0,OXYTRI_MAC_20039
Contig20040.0,Contig20040.0,AMCR02030431,AMCR02030431.1,20040.0,OXYTRI_MAC_20040
Contig20040.0v1,Contig20040.0v1,AMCR02030432,AMCR02030432.1,20040.0v1,
Contig20041.0,Contig20041.0,AMCR02030433,AMCR02030433.1,20041.0,OXYTRI_MAC_20041
Contig20042.0,Contig20042.0,AMCR02030434,AMCR02030434.1,20042.0,OXYTRI_MAC_20042
Contig20042.0v1,Contig20042.0v1,AMCR02030435,AMCR02030435.1,20042.0v1,
Contig20043.0,Contig20043.0,AMCR02030436,AMCR02030436.1,20043.0,OXYTRI_MAC_20043
Contig20044.0,Contig20044.0,AMCR02030437,AMCR02030437.1,20044.0,OXYTRI_MAC_20044
Contig20046.0,Contig20046.0,AMCR02030438,AMCR02030438.1,20046.0,OXYTRI_MAC_20046
Contig20046.0i1,Contig20046.0i1,AMCR02030439,AMCR02030439.1,20046.0i1,
Contig20046.0i2,Contig20046.0i2,AMCR02030440,AMCR02030440.1,20046.0i2,
Contig20047.0,Contig20047.0,AMCR02030441,AMCR02030441.1,20047.0,OXYTRI_MAC_20047
Contig20047.0v1,Contig20047.0v1,AMCR02030442,AMCR02030442.1,20047.0v1,
Contig20047.0v2,Contig20047.0v2,AMCR02030443,AMCR02030443.1,20047.0v2,
Contig20048.0,Contig20048.0,AMCR02030444,AMCR02030444.1,20048.0,OXYTRI_MAC_20048
Contig20048.0i1,Contig20048.0i1,AMCR02030445,AMCR02030445.1,20048.0i1,
Contig20049.0,Contig20049.0,AMCR02030446,AMCR02030446.1,20049.0,OXYTRI_MAC_20049
Contig20049.0i1,Contig20049.0i1,AMCR02030447,AMCR02030447.1,20049.0i1,
Contig20050.0,Contig20050.0,AMCR02030448,AMCR02030448.1,20050.0,OXYTRI_MAC_20050
Contig20050.0i1,Contig20050.0i1,AMCR02030449,AMCR02030449.1,20050.0i1,
Contig20054.0,Contig20054.0,AMCR02030450,AMCR02030450.1,20054.0,OXYTRI_MAC_20054
Contig20055.0.1,Contig20055.0.1,AMCR02030451,AMCR02030451.1,20055.0.1,OXYTRI_MAC_20055
Contig20055.0.1v1,Contig20055.0.1v1,AMCR02030452,AMCR02030452.1,20055.0.1v1,
Contig20056.0,Contig20056.0,AMCR02030453,AMCR02030453.1,20056.0,OXYTRI_MAC_20056
Contig20056.0i1,Contig20056.0i1,AMCR02030454,AMCR02030454.1,20056.0i1,
Contig20059.0,Contig20059.0,AMCR02030455,AMCR02030455.1,20059.0,OXYTRI_MAC_20059
Contig20059.0v1,Contig20059.0v1,AMCR02030456,AMCR02030456.1,20059.0v1,
Contig20061.0,Contig20061.0,AMCR02030457,AMCR02030457.1,20061.0,OXYTRI_MAC_20061
Contig20061.0i1,Contig20061.0i1,AMCR02030458,AMCR02030458.1,20061.0i1,
Contig20062.0,Contig20062.0,AMCR02030459,AMCR02030459.1,20062.0,OXYTRI_MAC_20062
Contig20062.0v1,Contig20062.0v1,AMCR02030460,AMCR02030460.1,20062.0v1,
Contig20063.0,Contig20063.0,AMCR02030461,AMCR02030461.1,20063.0,OXYTRI_MAC_20063
Contig20064.0,Contig20064.0,AMCR02030462,AMCR02030462.1,20064.0,OXYTRI_MAC_20064
Contig20065.0,Contig20065.0,AMCR02030463,AMCR02030463.1,20065.0,OXYTRI_MAC_20065
Contig20066.0.1,Contig20066.0.1,AMCR02030464,AMCR02030464.1,20066.0.1,OXYTRI_MAC_20066
Contig20068.0,Contig20068.0,AMCR02030465,AMCR02030465.1,20068.0,OXYTRI_MAC_20068
Contig20069.0,Contig20069.0,AMCR02030466,AMCR02030466.1,20069.0,OXYTRI_MAC_20069
Contig20069.0i1,Contig20069.0i1,AMCR02030467,AMCR02030467.1,20069.0i1,
Contig20070.0,Contig20070.0,AMCR02030468,AMCR02030468.1,20070.0,OXYTRI_MAC_20070
Contig20070.0v1,Contig20070.0v1,AMCR02030469,AMCR02030469.1,20070.0v1,
Contig20072.0,Contig20072.0,AMCR02030470,AMCR02030470.1,20072.0,OXYTRI_MAC_20072
Contig20072.0v1,Contig20072.0v1,AMCR02030471,AMCR02030471.1,20072.0v1,
Contig20072.0v2,Contig20072.0v2,AMCR02030472,AMCR02030472.1,20072.0v2,
Contig20072.0v3,Contig20072.0v3,AMCR02030473,AMCR02030473.1,20072.0v3,
Contig20075.0,Contig20075.0,AMCR02030474,AMCR02030474.1,20075.0,OXYTRI_MAC_20075
Contig20078.0,Contig20078.0,AMCR02030475,AMCR02030475.1,20078.0,OXYTRI_MAC_20078
Contig20078.0v1,Contig20078.0v1,AMCR02030476,AMCR02030476.1,20078.0v1,
Contig20078.0i1,Contig20078.0i1,AMCR02030477,AMCR02030477.1,20078.0i1,
Contig20078.0i1v1,Contig20078.0i1v1,AMCR02030478,AMCR02030478.1,20078.0i1v1,
Contig20078.0i1v2,Contig20078.0i1v2,AMCR02030479,AMCR02030479.1,20078.0i1v2,
Contig20079.0,Contig20079.0,AMCR02030480,AMCR02030480.1,20079.0,OXYTRI_MAC_20079
Contig20079.0v1,Contig20079.0v1,AMCR02030481,AMCR02030481.1,20079.0v1,
Contig20079.0v2,Contig20079.0v2,AMCR02030482,AMCR02030482.1,20079.0v2,
Contig20080.0,Contig20080.0,AMCR02030483,AMCR02030483.1,20080.0,OXYTRI_MAC_20080
Contig20081.0,Contig20081.0,AMCR02030484,AMCR02030484.1,20081.0,OXYTRI_MAC_20081
Contig20081.0v2,Contig20081.0v2,AMCR02030485,AMCR02030485.1,20081.0v2,
Contig20081.0v3,Contig20081.0v3,AMCR02030486,AMCR02030486.1,20081.0v3,
Contig20081.0v1,Contig20081.0v1,AMCR02030487,AMCR02030487.1,20081.0v1,
Contig20082.0,Contig20082.0,AMCR02030488,AMCR02030488.1,20082.0,OXYTRI_MAC_20082
Contig20082.0i1,Contig20082.0i1,AMCR02030489,AMCR02030489.1,20082.0i1,
Contig20084.0,Contig20084.0,AMCR02030490,AMCR02030490.1,20084.0,OXYTRI_MAC_20084
Contig20085.0,Contig20085.0,AMCR02030491,AMCR02030491.1,20085.0,OXYTRI_MAC_20085
Contig20086.0,Contig20086.0,AMCR02030492,AMCR02030492.1,20086.0,OXYTRI_MAC_20086
Contig20086.0v1,Contig20086.0v1,AMCR02030493,AMCR02030493.1,20086.0v1,
Contig20086.0v2,Contig20086.0v2,AMCR02030494,AMCR02030494.1,20086.0v2,
Contig20088.0,Contig20088.0,AMCR02030495,AMCR02030495.1,20088.0,OXYTRI_MAC_20088
Contig20088.0v1,Contig20088.0v1,AMCR02030496,AMCR02030496.1,20088.0v1,
Contig20089.0,Contig20089.0,AMCR02030497,AMCR02030497.1,20089.0,OXYTRI_MAC_20089
Contig20089.0v1,Contig20089.0v1,AMCR02030498,AMCR02030498.1,20089.0v1,
Contig20089.0i1,Contig20089.0i1,AMCR02030499,AMCR02030499.1,20089.0i1,
Contig20090.0,Contig20090.0,AMCR02030500,AMCR02030500.1,20090.0,OXYTRI_MAC_20090
Contig20091.0,Contig20091.0,AMCR02030501,AMCR02030501.1,20091.0,OXYTRI_MAC_20091
Contig20092.0,Contig20092.0,AMCR02030502,AMCR02030502.1,20092.0,OXYTRI_MAC_20092
Contig20092.0i1,Contig20092.0i1,AMCR02030503,AMCR02030503.1,20092.0i1,
Contig20092.0i2,Contig20092.0i2,AMCR02030504,AMCR02030504.1,20092.0i2,
Contig20093.0,Contig20093.0,AMCR02030505,AMCR02030505.1,20093.0,OXYTRI_MAC_20093
Contig20095.0,Contig20095.0,AMCR02030506,AMCR02030506.1,20095.0,OXYTRI_MAC_20095
Contig20095.0v1,Contig20095.0v1,AMCR02030507,AMCR02030507.1,20095.0v1,
Contig20096.0,Contig20096.0,AMCR02030508,AMCR02030508.1,20096.0,OXYTRI_MAC_20096
Contig20097.0,Contig20097.0,AMCR02030509,AMCR02030509.1,20097.0,OXYTRI_MAC_20097
Contig20097.0i1,Contig20097.0i1,AMCR02030510,AMCR02030510.1,20097.0i1,
Contig20097.0i1v1,Contig20097.0i1v1,AMCR02030511,AMCR02030511.1,20097.0i1v1,
Contig20097.0i1v2,Contig20097.0i1v2,AMCR02030512,AMCR02030512.1,20097.0i1v2,
Contig20098.0,Contig20098.0,AMCR02030513,AMCR02030513.1,20098.0,OXYTRI_MAC_20098
Contig20099.0,Contig20099.0,AMCR02030514,AMCR02030514.1,20099.0,OXYTRI_MAC_20099
Contig20100.0,Contig20100.0,AMCR02030515,AMCR02030515.1,20100.0,OXYTRI_MAC_20100
Contig20101.0,Contig20101.0,AMCR02030516,AMCR02030516.1,20101.0,OXYTRI_MAC_20101
Contig20101.0v1,Contig20101.0v1,AMCR02030517,AMCR02030517.1,20101.0v1,
Contig20102.0,Contig20102.0,AMCR02030518,AMCR02030518.1,20102.0,OXYTRI_MAC_20102
Contig20104.0,Contig20104.0,AMCR02030519,AMCR02030519.1,20104.0,OXYTRI_MAC_20104
Contig20106.0,Contig20106.0,AMCR02030520,AMCR02030520.1,20106.0,OXYTRI_MAC_20106
Contig20107.0.1,Contig20107.0.1,AMCR02030521,AMCR02030521.1,20107.0.1,OXYTRI_MAC_20107
Contig20107.0.1v1,Contig20107.0.1v1,AMCR02030522,AMCR02030522.1,20107.0.1v1,
Contig20107.0.1v2,Contig20107.0.1v2,AMCR02030523,AMCR02030523.1,20107.0.1v2,
Contig20108.0.1,Contig20108.0.1,AMCR02030524,AMCR02030524.1,20108.0.1,OXYTRI_MAC_20108
Contig20108.0.1v1,Contig20108.0.1v1,AMCR02030525,AMCR02030525.1,20108.0.1v1,
Contig20109.0,Contig20109.0,AMCR02030526,AMCR02030526.1,20109.0,OXYTRI_MAC_20109
Contig20110.0,Contig20110.0,AMCR02030527,AMCR02030527.1,20110.0,OXYTRI_MAC_20110
Contig20111.0,Contig20111.0,AMCR02030528,AMCR02030528.1,20111.0,OXYTRI_MAC_20111
Contig20111.0v1,Contig20111.0v1,AMCR02030529,AMCR02030529.1,20111.0v1,
Contig20111.0v2,Contig20111.0v2,AMCR02030530,AMCR02030530.1,20111.0v2,
Contig20112.0,Contig20112.0,AMCR02030531,AMCR02030531.1,20112.0,OXYTRI_MAC_20112
