primary,oxydb_mac_2020,genbank,genbank.1,number,mds_ies_db_2015
Contig4150.0,Contig4150.0,AMCR02007696,AMCR02007696.1,4150.0,OXYTRI_MAC_4150
Contig4151.0,Contig4151.0,AMCR02007697,AMCR02007697.1,4151.0,OXYTRI_MAC_4151
Contig4153.0,Contig4153.0,AMCR02007698,AMCR02007698.1,4153.0,OXYTRI_MAC_4153
Contig4153.0i1,Contig4153.0i1,AMCR02007699,AMCR02007699.1,4153.0i1,
Contig4156.0.0,Contig4156.0.0,AMCR02007700,AMCR02007700.1,4156.0.0,
Contig4156.0.0i1,Contig4156.0.0i1,AMCR02007701,AMCR02007701.1,4156.0.0i1,
Contig4160.0,Contig4160.0,AMCR02007702,AMCR02007702.1,4160.0,OXYTRI_MAC_4160
Contig4160.0v1,Contig4160.0v1,AMCR02007703,AMCR02007703.1,4160.0v1,
Contig4160.0v2,Contig4160.0v2,AMCR02007704,AMCR02007704.1,4160.0v2,
Contig4161.0i1,Contig4161.0i1,AMCR02007705,AMCR02007705.1,4161.0i1,
Contig4162.0,Contig4162.0,AMCR02007706,AMCR02007706.1,4162.0,OXYTRI_MAC_4162
Contig4163.0,Contig4163.0,AMCR02007707,AMCR02007707.1,4163.0,OXYTRI_MAC_4163
Contig4163.0v1,Contig4163.0v1,AMCR02007708,AMCR02007708.1,4163.0v1,
Contig4165.0,Contig4165.0,AMCR02007709,AMCR02007709.1,4165.0,OXYTRI_MAC_4165
Contig4170.0,Contig4170.0,AMCR02007710,AMCR02007710.1,4170.0,OXYTRI_MAC_4170
Contig4171.0,Contig4171.0,AMCR02007711,AMCR02007711.1,4171.0,OXYTRI_MAC_4171
Contig4171.0i1,Contig4171.0i1,AMCR02007712,AMCR02007712.1,4171.0i1,
Contig4171.0i1v1,Contig4171.0i1v1,AMCR02007713,AMCR02007713.1,4171.0i1v1,
Contig4173.0,Contig4173.0,AMCR02007714,AMCR02007714.1,4173.0,OXYTRI_MAC_4173
Contig4174.0,Contig4174.0,AMCR02007715,AMCR02007715.1,4174.0,OXYTRI_MAC_4174
Contig4174.0v1,Contig4174.0v1,AMCR02007716,AMCR02007716.1,4174.0v1,
Contig4177.0,Contig4177.0,AMCR02007717,AMCR02007717.1,4177.0,OXYTRI_MAC_4177
Contig4177.0v1,Contig4177.0v1,AMCR02007718,AMCR02007718.1,4177.0v1,
Contig4179.0,Contig4179.0,AMCR02007719,AMCR02007719.1,4179.0,OXYTRI_MAC_4179
Contig4179.0v1,Contig4179.0v1,AMCR02007720,AMCR02007720.1,4179.0v1,
Contig4180.0,Contig4180.0,AMCR02007721,AMCR02007721.1,4180.0,OXYTRI_MAC_4180
Contig4180.0i1,Contig4180.0i1,AMCR02007722,AMCR02007722.1,4180.0i1,
Contig4180.0i2,Contig4180.0i2,AMCR02007723,AMCR02007723.1,4180.0i2,
Contig4181.0,Contig4181.0,AMCR02007724,AMCR02007724.1,4181.0,OXYTRI_MAC_4181
Contig4182.0,Contig4182.0,AMCR02007725,AMCR02007725.1,4182.0,OXYTRI_MAC_4182
Contig4183.0,Contig4183.0,AMCR02007726,AMCR02007726.1,4183.0,OXYTRI_MAC_4183
Contig4183.0i1,Contig4183.0i1,AMCR02007727,AMCR02007727.1,4183.0i1,
Contig4189.0,Contig4189.0,AMCR02007728,AMCR02007728.1,4189.0,OXYTRI_MAC_4189
Contig4190.0,Contig4190.0,AMCR02007729,AMCR02007729.1,4190.0,OXYTRI_MAC_4190
Contig4192.0,Contig4192.0,AMCR02007730,AMCR02007730.1,4192.0,OXYTRI_MAC_4192
Contig4192.0v1,Contig4192.0v1,AMCR02007731,AMCR02007731.1,4192.0v1,
Contig4193.0,Contig4193.0,AMCR02007732,AMCR02007732.1,4193.0,OXYTRI_MAC_4193
Contig4196.0,Contig4196.0,AMCR02007733,AMCR02007733.1,4196.0,OXYTRI_MAC_4196
Contig4196.0v1,Contig4196.0v1,AMCR02007734,AMCR02007734.1,4196.0v1,
Contig4196.0v2,Contig4196.0v2,AMCR02007735,AMCR02007735.1,4196.0v2,
Contig4197.0,Contig4197.0,AMCR02007736,AMCR02007736.1,4197.0,OXYTRI_MAC_4197
Contig4198.0.1,Contig4198.0.1,AMCR02007737,AMCR02007737.1,4198.0.1,OXYTRI_MAC_4198
