primary,oxydb_mac_2012,number,mds_ies_db_2015
Contig1063.0,Contig1063.0,1063.0,OXYTRI_MAC_1063
Contig1062.0,Contig1062.0,1062.0,OXYTRI_MAC_1062
Contig1061.0,Contig1061.0,1061.0,OXYTRI_MAC_1061
Contig1067.0,Contig1067.0,1067.0,OXYTRI_MAC_1067
Contig1066.0,Contig1066.0,1066.0,OXYTRI_MAC_1066
Contig1065.0,Contig1065.0,1065.0,OXYTRI_MAC_1065
Contig1064.0,Contig1064.0,1064.0,OXYTRI_MAC_1064
Contig1399.0,Contig1399.0,1399.0,OXYTRI_MAC_1399
Contig1398.0,Contig1398.0,1398.0,OXYTRI_MAC_24910
Contig1395.0,Contig1395.0,1395.0,OXYTRI_MAC_1395
Contig1394.0,Contig1394.0,1394.0,OXYTRI_MAC_26443
Contig1397.0,Contig1397.0,1397.0,OXYTRI_MAC_25414
Contig1391.0,Contig1391.0,1391.0,
Contig1393.0,Contig1393.0,1393.0,OXYTRI_MAC_1393
Contig1392.0,Contig1392.0,1392.0,OXYTRI_MAC_1392
Contig10468.0,Contig10468.0,10468.0,OXYTRI_MAC_10468
Contig10469.0,Contig10469.0,10469.0,OXYTRI_MAC_10469
Contig10464.0,Contig10464.0,10464.0,OXYTRI_MAC_10464
Contig10465.0,Contig10465.0,10465.0,OXYTRI_MAC_10465
Contig10466.0,Contig10466.0,10466.0,OXYTRI_MAC_10466
Contig10467.0,Contig10467.0,10467.0,OXYTRI_MAC_10467
Contig10460.0,Contig10460.0,10460.0,OXYTRI_MAC_10460
Contig10461.0,Contig10461.0,10461.0,OXYTRI_MAC_10461
Contig10462.0,Contig10462.0,10462.0,OXYTRI_MAC_10462
Contig10463.0,Contig10463.0,10463.0,OXYTRI_MAC_10463
Contig11333.0,Contig11333.0,11333.0,OXYTRI_MAC_11333
Contig11332.0,Contig11332.0,11332.0,OXYTRI_MAC_11332
Contig11330.0,Contig11330.0,11330.0,OXYTRI_MAC_11330
Contig11337.0,Contig11337.0,11337.0,OXYTRI_MAC_11337
Contig11336.0,Contig11336.0,11336.0,OXYTRI_MAC_11336
Contig11335.0,Contig11335.0,11335.0,OXYTRI_MAC_11335
Contig11334.0,Contig11334.0,11334.0,OXYTRI_MAC_11334
Contig16109.0,Contig16109.0,16109.0,OXYTRI_MAC_16109
Contig16108.0,Contig16108.0,16108.0,OXYTRI_MAC_16108
Contig11339.0,Contig11339.0,11339.0,OXYTRI_MAC_11339
Contig11338.0,Contig11338.0,11338.0,OXYTRI_MAC_11338
Contig799.0.0,Contig799.0.0,799.0.0,OXYTRI_MAC_4493
Contig798.0,Contig798.0,798.0,OXYTRI_MAC_798
Contig12824.0,Contig12824.0,12824.0,OXYTRI_MAC_12824
Contig12825.0,Contig12825.0,12825.0,OXYTRI_MAC_12825
Contig12822.0,Contig12822.0,12822.0,OXYTRI_MAC_12822
Contig12823.0,Contig12823.0,12823.0,OXYTRI_MAC_12823
Contig12821.0,Contig12821.0,12821.0,OXYTRI_MAC_12821
Contig791.0,Contig791.0,791.0,OXYTRI_MAC_24835
Contig790.0,Contig790.0,790.0,OXYTRI_MAC_790
Contig793.0,Contig793.0,793.0,OXYTRI_MAC_793
Contig792.0,Contig792.0,792.0,OXYTRI_MAC_792
Contig795.0,Contig795.0,795.0,OXYTRI_MAC_795
Contig794.0,Contig794.0,794.0,OXYTRI_MAC_794
Contig797.0,Contig797.0,797.0,OXYTRI_MAC_26445
Contig796.0,Contig796.0,796.0,OXYTRI_MAC_796
Contig11015.0.0,Contig11015.0.0,11015.0.0,OXYTRI_MAC_11015
Contig1939.0,Contig1939.0,1939.0,OXYTRI_MAC_1939
Contig1931.0,Contig1931.0,1931.0,OXYTRI_MAC_1931
Contig1930.0,Contig1930.0,1930.0,OXYTRI_MAC_1930
Contig1933.0,Contig1933.0,1933.0,OXYTRI_MAC_1933
Contig1935.0.1,Contig1935.0.1,1935.0.1,OXYTRI_MAC_1935
Contig1934.0,Contig1934.0,1934.0,OXYTRI_MAC_1934
Contig1937.0,Contig1937.0,1937.0,OXYTRI_MAC_1937
Contig1936.0,Contig1936.0,1936.0,OXYTRI_MAC_1936
Contig429.0,Contig429.0,429.0,OXYTRI_MAC_429
