name,variant
Contig99.0v1,"Contig99.0,Contig99.0v1,Contig99.0i1"
Contig99.0i1,"Contig99.0,Contig99.0v1,Contig99.0i1"
Contig99.1,"Contig99.1,Contig99.1i1"
Contig99.1i1,"Contig99.1,Contig99.1i1"
Contig100.0,Contig100.0
Contig101.0,"Contig101.0,Contig101.0v1,Contig101.0i1"
Contig101.0v1,"Contig101.0,Contig101.0v1,Contig101.0i1"
Contig101.0i1,"Contig101.0,Contig101.0v1,Contig101.0i1"
Contig101.1,"Contig101.1,Contig101.1i1"
Contig101.1i1,"Contig101.1,Contig101.1i1"
Contig102.0,"Contig102.0,Contig102.0v1"
Contig102.0v1,"Contig102.0,Contig102.0v1"
Contig102.1,"Contig102.1,Contig102.1v1"
Contig102.1v1,"Contig102.1,Contig102.1v1"
Contig103.0,"Contig103.0,Contig103.0i1,Contig103.0i1v1"
Contig103.0i1,"Contig103.0,Contig103.0i1,Contig103.0i1v1"
Contig103.0i1v1,"Contig103.0,Contig103.0i1,Contig103.0i1v1"
Contig103.1,"Contig103.1,Contig103.1i1"
Contig103.1i1,"Contig103.1,Contig103.1i1"
Contig104.0,Contig104.0
Contig104.1,"Contig104.1,Contig104.1i1"
Contig104.1i1,"Contig104.1,Contig104.1i1"
Contig105.0,"Contig105.0,Contig105.0i1"
Contig105.0i1,"Contig105.0,Contig105.0i1"
Contig105.1,"Contig105.1,Contig105.1v1,Contig105.1i1"
Contig105.1v1,"Contig105.1,Contig105.1v1,Contig105.1i1"
Contig105.1i1,"Contig105.1,Contig105.1v1,Contig105.1i1"
Contig106.1,"Contig106.1,Contig106.1i1"
Contig106.1i1,"Contig106.1,Contig106.1i1"
Contig107.1,"Contig107.1,Contig107.1i1,Contig107.1i1v1,Contig107.1i2"
Contig107.1i1,"Contig107.1,Contig107.1i1,Contig107.1i1v1,Contig107.1i2"
Contig107.1i1v1,"Contig107.1,Contig107.1i1,Contig107.1i1v1,Contig107.1i2"
Contig107.1i2,"Contig107.1,Contig107.1i1,Contig107.1i1v1,Contig107.1i2"
Contig108.0,Contig108.0
Contig108.1,"Contig108.1,Contig108.1v1,Contig108.1i1"
Contig108.1v1,"Contig108.1,Contig108.1v1,Contig108.1i1"
Contig108.1i1,"Contig108.1,Contig108.1v1,Contig108.1i1"
