primary,oxydb_mac_gene_2020
g11175,g11175
g8753,g8753
g8754,g8754
g43706,g43706
g31582,g31582
g46613,g46613
g46614,g46614
g46615,g46615
g30238,g30238
g30239,g30239
g38979,g38979
g13992,g13992
g16708,g16708
g10272,g10272
g5161,g5161
g28353,g28353
g28354,g28354
g34217,g34217
g34218,g34218
g28563,g28563
g19156,g19156
g19157,g19157
g19158,g19158
g19135,g19135
g19125,g19125
g19142,g19142
g42375,g42375
g30576,g30576
g37264,g37264
g40473,g40473
g4765,g4765
g8420,g8420
g8416,g8416
g8435,g8435
g45444,g45444
g11040,g11040
g32235,g32235
g12183,g12183
g42312,g42312
g34926,g34926
g4430,g4430
g34930,g34930
g40881,g40881
g14207,g14207
g23278,g23278
g19286,g19286
g19287,g19287
g19288,g19288
g14547,g14547
g14548,g14548
g14549,g14549
g46496,g46496
g15935,g15935
g40011,g40011
g9241,g9241
g47822,g47822
g47823,g47823
g47308,g47308
g16368,g16368
g45907,g45907
g13572,g13572
g19564,g19564
g19810,g19810
g26279,g26279
g35358,g35358
g9857,g9857
g2378,g2378
g23417,g23417
g16113,g16113
g19057,g19057
g47015,g47015
g47016,g47016
g32063,g32063
g32064,g32064
g5210,g5210
g5211,g5211
g11110,g11110
g11111,g11111
g5218,g5218
g5219,g5219
g5223,g5223
g5229,g5229
g31036,g31036
g31037,g31037
g36923,g36923
g36924,g36924
g36943,g36943
g36944,g36944
g30331,g30331
g30332,g30332
g36164,g36164
g20284,g20284
g40268,g40268
g10799,g10799
g3165,g3165
g8877,g8877
g18150,g18150
g21095,g21095
g18137,g18137
g18156,g18156
g48186,g48186
g47882,g47882
g47883,g47883
g17440,g17440
g17441,g17441
g32680,g32680
g32681,g32681
g32686,g32686
g32687,g32687
g20234,g20234
g20237,g20237
g8968,g8968
g20649,g20649
g20650,g20650
g67,g67
g68,g68
g11961,g11961
g11962,g11962
g9571,g9571
g3295,g3295
g25393,g25393
g21289,g21289
g31681,g31681
g32211,g32211
g16882,g16882
g47806,g47806
g47807,g47807
g5946,g5946
g5947,g5947
g31230,g31230
g31231,g31231
g31232,g31232
g32845,g32845
g32846,g32846
g32847,g32847
g7646,g7646
g7647,g7647
g11400,g11400
g11401,g11401
g1351,g1351
g38556,g38556
g23345,g23345
g23346,g23346
g3622,g3622
g3623,g3623
g43031,g43031
g32128,g32128
g14971,g14971
g38650,g38650
g46725,g46725
g44802,g44802
g37848,g37848
g35745,g35745
g35746,g35746
g33711,g33711
g15657,g15657
g3778,g3778
g20549,g20549
g9251,g9251
g46408,g46408
g17528,g17528
g35260,g35260
g28514,g28514
g32475,g32475
g41456,g41456
g40418,g40418
g23150,g23150
g46532,g46532
g43860,g43860
g21535,g21535
g59,g59
g20418,g20418
g29616,g29616
g45777,g45777
g16120,g16120
g35581,g35581
g35582,g35582
g21706,g21706
g21707,g21707
g21714,g21714
g21715,g21715
g21726,g21726
g21727,g21727
g21733,g21733
g21734,g21734
g37038,g37038
g42558,g42558
g42559,g42559
g42560,g42560
g38405,g38405
g38406,g38406
g2580,g2580
g2581,g2581
g15286,g15286
g15287,g15287
g26816,g26816
g20393,g20393
g44201,g44201
g44202,g44202
g44203,g44203
g44204,g44204
g44466,g44466
g11147,g11147
g242,g242
g10102,g10102
g470,g470
g40065,g40065
g630,g630
g631,g631
g29658,g29658
g29659,g29659
g29660,g29660
g29661,g29661
g47554,g47554
g12592,g12592
g31628,g31628
g31629,g31629
g31630,g31630
g31645,g31645
g31646,g31646
g17469,g17469
g2392,g2392
g40452,g40452
g34532,g34532
g34533,g34533
g1680,g1680
g1681,g1681
g1672,g1672
g39604,g39604
g20133,g20133
g20134,g20134
g21110,g21110
g21111,g21111
g21708,g21708
g21709,g21709
g18072,g18072
g18073,g18073
g8959,g8959
g8960,g8960
g48138,g48138
g22492,g22492
g11134,g11134
g22500,g22500
g22504,g22504
g6940,g6940
g46190,g46190
g46191,g46191
g44775,g44775
g13235,g13235
g31589,g31589
