primary,oxydb_mic_2014,mds_ies_db_2015,genbank,genbank.1,number
OXYTRI_MIC_67278,ctg7180000067278,OXYTRI_MIC_67278,ARYC01000138,ARYC01000138.1,67278
OXYTRI_MIC_67279,ctg7180000067279,OXYTRI_MIC_67279,ARYC01000139,ARYC01000139.1,67279
OXYTRI_MIC_67280,ctg7180000067280,OXYTRI_MIC_67280,ARYC01000140,ARYC01000140.1,67280
OXYTRI_MIC_67281,ctg7180000067281,OXYTRI_MIC_67281,ARYC01000141,ARYC01000141.1,67281
OXYTRI_MIC_67284,ctg7180000067284,OXYTRI_MIC_67284,ARYC01000142,ARYC01000142.1,67284
OXYTRI_MIC_67285,ctg7180000067285,OXYTRI_MIC_67285,ARYC01000143,ARYC01000143.1,67285
OXYTRI_MIC_67286,ctg7180000067286,OXYTRI_MIC_67286,ARYC01000144,ARYC01000144.1,67286
OXYTRI_MIC_67287,ctg7180000067287,OXYTRI_MIC_67287,ARYC01000145,ARYC01000145.1,67287
OXYTRI_MIC_67288,ctg7180000067288,OXYTRI_MIC_67288,ARYC01000146,ARYC01000146.1,67288
OXYTRI_MIC_67289,ctg7180000067289,OXYTRI_MIC_67289,ARYC01000147,ARYC01000147.1,67289
OXYTRI_MIC_67290,ctg7180000067290,OXYTRI_MIC_67290,ARYC01000148,ARYC01000148.1,67290
OXYTRI_MIC_67291,ctg7180000067291,OXYTRI_MIC_67291,ARYC01000149,ARYC01000149.1,67291
OXYTRI_MIC_67292,ctg7180000067292,OXYTRI_MIC_67292,ARYC01000150,ARYC01000150.1,67292
OXYTRI_MIC_67293,ctg7180000067293,OXYTRI_MIC_67293,ARYC01000151,ARYC01000151.1,67293
OXYTRI_MIC_67294,ctg7180000067294,OXYTRI_MIC_67294,ARYC01000152,ARYC01000152.1,67294
OXYTRI_MIC_67295,ctg7180000067295,OXYTRI_MIC_67295,ARYC01000153,ARYC01000153.1,67295
OXYTRI_MIC_67296,ctg7180000067296,OXYTRI_MIC_67296,ARYC01000154,ARYC01000154.1,67296
OXYTRI_MIC_67297,ctg7180000067297,OXYTRI_MIC_67297,ARYC01000155,ARYC01000155.1,67297
OXYTRI_MIC_67298,ctg7180000067298,OXYTRI_MIC_67298,ARYC01000156,ARYC01000156.1,67298
OXYTRI_MIC_67299,ctg7180000067299,OXYTRI_MIC_67299,ARYC01000157,ARYC01000157.1,67299
OXYTRI_MIC_67300,ctg7180000067300,OXYTRI_MIC_67300,ARYC01000158,ARYC01000158.1,67300
OXYTRI_MIC_67301,ctg7180000067301,OXYTRI_MIC_67301,ARYC01000159,ARYC01000159.1,67301
OXYTRI_MIC_67302,ctg7180000067302,OXYTRI_MIC_67302,ARYC01000160,ARYC01000160.1,67302
OXYTRI_MIC_67303,ctg7180000067303,OXYTRI_MIC_67303,ARYC01000161,ARYC01000161.1,67303
OXYTRI_MIC_67304,ctg7180000067304,OXYTRI_MIC_67304,ARYC01000162,ARYC01000162.1,67304
OXYTRI_MIC_67305,ctg7180000067305,OXYTRI_MIC_67305,ARYC01000163,ARYC01000163.1,67305
OXYTRI_MIC_67306,ctg7180000067306,OXYTRI_MIC_67306,ARYC01000164,ARYC01000164.1,67306
OXYTRI_MIC_67307,ctg7180000067307,OXYTRI_MIC_67307,ARYC01000165,ARYC01000165.1,67307
OXYTRI_MIC_67308,ctg7180000067308,OXYTRI_MIC_67308,ARYC01000166,ARYC01000166.1,67308
